,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOGL230519P00005000,2023-04-20 13:30:00+00:00,5.0,0.05,0.0,4.8,0.0,0.0,,5,7.644531694335939,False,REGULAR,USD
1,GOGL230519P00007500,2023-04-27 15:08:10+00:00,7.5,0.08,0.0,0.1,0.0,0.0,1.0,1402,0.6015664843750002,False,REGULAR,USD
2,GOGL230519P00010000,2023-05-01 19:14:11+00:00,10.0,1.18,1.35,2.8,0.0,0.0,9.0,119,1.439455927734375,True,REGULAR,USD
3,GOGL230616P00005000,2023-02-15 14:59:17+00:00,5.0,0.13,0.0,0.15,0.0,0.0,2.0,114,1.0234423828125,False,REGULAR,USD
4,GOGL230616P00007500,2023-05-02 19:42:02+00:00,7.5,0.18,0.15,0.2,0.0,0.0,15.0,1213,0.49219257812500006,False,REGULAR,USD
5,GOGL230616P00010000,2023-05-02 14:59:16+00:00,10.0,1.74,1.45,1.8,0.0,0.0,125.0,510,0.6191444335937502,True,REGULAR,USD
6,GOGL230616P00012500,2023-03-16 13:33:53+00:00,12.5,3.4,2.7,4.1,0.0,0.0,1.0,87,0.6757844921875001,True,REGULAR,USD
7,GOGL230616P00017500,2023-01-27 16:08:27+00:00,17.5,8.5,6.9,7.9,0.0,0.0,2.0,143,1.0000000000000003e-05,True,REGULAR,USD
8,GOGL230915P00005000,2023-03-10 16:22:03+00:00,5.0,0.05,0.0,0.4,0.0,0.0,1.0,27,0.77148666015625,False,REGULAR,USD
9,GOGL230915P00007500,2023-05-02 19:29:49+00:00,7.5,0.5,0.35,0.65,0.0,0.0,4.0,501,0.5478560839843751,False,REGULAR,USD
10,GOGL230915P00010000,2023-05-01 18:01:29+00:00,10.0,2.45,1.35,3.1,0.7900001,47.590366,1.0,115,0.585941640625,True,REGULAR,USD
11,GOGL230915P00012500,2023-03-21 13:30:03+00:00,12.5,3.2,0.0,0.0,0.0,0.0,20.0,22,1.0000000000000003e-05,True,REGULAR,USD
12,GOGL230915P00015000,2023-01-20 18:28:37+00:00,15.0,6.1,4.3,8.5,0.0,0.0,1.0,25,1.6845718896484376,True,REGULAR,USD
13,GOGL230915P00017500,2023-01-20 18:32:36+00:00,17.5,8.7,6.7,11.0,0.0,0.0,2.0,18,1.8388679931640621,True,REGULAR,USD
14,GOGL231215P00007500,2023-05-01 19:39:50+00:00,7.5,0.55,0.35,5.0,0.0,0.0,3.0,29,1.3027378613281246,False,REGULAR,USD
15,GOGL231215P00010000,2023-05-01 18:01:29+00:00,10.0,2.62,1.5,3.8,0.6299999,31.658285,1.0,14,0.6167030517578126,True,REGULAR,USD
16,GOGL240119P00002500,2022-10-04 16:14:48+00:00,2.5,0.2,0.15,0.25,0.0,0.0,100.0,101,1.1367230664062502,False,REGULAR,USD
17,GOGL240119P00005000,2023-04-24 19:58:31+00:00,5.0,0.2,0.15,0.25,0.0,0.0,3.0,221,0.5546919531250001,False,REGULAR,USD
18,GOGL240119P00007500,2023-04-26 14:42:18+00:00,7.5,0.75,0.45,1.15,0.0,0.0,2.0,204,0.5927775097656252,False,REGULAR,USD
19,GOGL240119P00010000,2023-04-28 19:03:36+00:00,10.0,1.95,1.55,3.0,0.0,0.0,1.0,276,0.6967803759765626,True,REGULAR,USD
20,GOGL240119P00012500,2023-04-06 14:33:32+00:00,12.5,4.2,4.0,5.7,0.0,0.0,3.0,85,0.659183095703125,True,REGULAR,USD
21,GOGL240119P00015000,2023-04-14 19:53:05+00:00,15.0,5.9,5.8,9.2,0.0,0.0,2.0,206,0.8530288134765626,True,REGULAR,USD
22,GOGL240119P00017500,2023-03-09 17:54:01+00:00,17.5,7.9,7.8,11.5,0.0,0.0,2.0,7,0.8125018749999999,True,REGULAR,USD
23,GOGL250117P00002500,2023-01-13 17:04:06+00:00,2.5,0.25,0.0,4.9,0.0,0.0,10.0,10,3.8750003125,False,REGULAR,USD
24,GOGL250117P00005000,2023-04-19 15:22:34+00:00,5.0,0.65,0.1,0.95,0.0,0.0,10.0,156,0.5127001855468749,False,REGULAR,USD
25,GOGL250117P00007500,2023-03-06 16:29:34+00:00,7.5,1.3,0.5,2.45,0.0,0.0,1.0,87,0.7231472998046875,False,REGULAR,USD
26,GOGL250117P00010000,2023-05-02 18:27:57+00:00,10.0,4.1,2.5,5.1,0.0,0.0,10.0,55,0.6337927246093751,True,REGULAR,USD
27,GOGL250117P00012500,2023-04-12 13:30:04+00:00,12.5,5.1,4.0,8.0,0.0,0.0,1.0,85,0.69336244140625,True,REGULAR,USD
28,GOGL250117P00015000,2022-10-12 14:35:14+00:00,15.0,8.5,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
29,GOGL250117P00017500,2022-12-29 19:01:41+00:00,17.5,9.9,8.8,11.1,0.0,0.0,3.0,6,0.6084023535156251,True,REGULAR,USD
30,GOGL250117P00020000,2023-03-09 17:51:05+00:00,20.0,11.2,9.9,14.3,0.0,0.0,,1,0.5644574804687501,True,REGULAR,USD
